channel_class,merged_file,source_file,job_id,run_id,channel_type,mode,N,sample,n_samples_in_block,orig_s,orig_total,protocol,p,t,status
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,16,25,1,5,SEQ,1.0,18.8,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,16,25,1,5,pQC-CC,1.0,36.5,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,16,25,1,5,QC-SupFO,1.0,9.0,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,16,25,1,5,QC-QC,1.0,7.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,16,25,1,5,GEN,1.0,2.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,17,25,2,5,PAR,1.0,6.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,17,25,2,5,SEQ,1.0,22.2,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,17,25,2,5,pQC-CC,1.0,42.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,17,25,2,5,QC-SupFO,1.0,8.0,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,17,25,2,5,QC-QC,1.0,7.9,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,17,25,2,5,GEN,1.0,2.3,Solved
unitary,2_25.txt,unitary_upper_bound_N2_12181190.out,12181190,20260819_095706_job12181190_unitary_upper_bound_N2,unitary,diff,2,18,25,3,5,PAR,1.0,5.2,Solved
